Country,Total Exports Value ($US),Customs Import Value (Gen) ($US),Month,Year
Afghanistan,"1,982,325","1,356,716",Sep,2023
Afghanistan,"415,346","1,099,836",Oct,2023
Afghanistan,"664,598","1,398,175",Nov,2023
Afghanistan,"31,922,649","1,942,189",Dec,2023
Albania,"2,093,928","24,542,750",Jan,2015
Albania,"2,210,894","2,860,092",Feb,2015
Albania,"3,835,992","2,555,908",Mar,2015
Albania,"4,084,614","14,358,584",Apr,2015
Albania,"3,096,707","12,453,402",May,2015
Albania,"3,221,386","17,515,847",Jun,2015
Albania,"2,078,808","20,781,212",Jul,2015
Albania,"2,241,252","26,709,464",Aug,2015
Albania,"1,903,339","2,656,446",Sep,2015
Albania,"2,009,254","16,441,795",Oct,2015
Albania,"1,809,729","17,517,679",Nov,2015
Albania,"2,311,762","1,688,040",Dec,2015
Albania,"1,736,416","1,613,255",Jan,2016
Albania,"3,429,357","2,419,991",Feb,2016
Albania,"3,198,063","1,478,094",Mar,2016
Albania,"3,444,828","2,095,490",Apr,2016
Albania,"9,525,669","11,382,911",May,2016
Albania,"5,589,270","22,386,733",Jun,2016
Albania,"3,848,630","22,231,965",Jul,2016
Albania,"5,391,733","27,105,354",Aug,2016
Albania,"3,110,767","15,247,986",Sep,2016
Albania,"3,603,363","13,743,513",Oct,2016
Albania,"4,210,043","2,819,030",Nov,2016
Albania,"3,205,276","2,089,349",Dec,2016
Albania,"3,024,330","2,487,946",Jan,2017
Albania,"3,946,890","2,110,351",Feb,2017
Albania,"4,200,007","2,340,633",Mar,2017
Albania,"6,995,374","1,798,567",Apr,2017
Albania,"5,693,300","5,684,186",May,2017
Albania,"4,765,195","2,390,146",Jun,2017
Albania,"4,009,022","3,210,231",Jul,2017
Albania,"4,939,889","4,630,737",Aug,2017
Albania,"3,465,072","6,065,681",Sep,2017
Albania,"5,514,416","2,918,967",Oct,2017
Albania,"4,595,255","3,108,689",Nov,2017
Albania,"10,938,208","4,848,963",Dec,2017
Albania,"3,085,093","5,798,655",Jan,2018
Albania,"7,320,681","6,396,030",Feb,2018
Albania,"6,452,673","5,976,126",Mar,2018
Albania,"4,693,997","4,021,210",Apr,2018
Albania,"5,001,788","4,315,544",May,2018
Albania,"6,554,051","5,257,460",Jun,2018
Albania,"4,881,596","6,568,674",Jul,2018
Albania,"3,987,349","5,583,912",Aug,2018
Albania,"3,471,304","4,096,563",Sep,2018
Albania,"3,489,021","5,530,933",Oct,2018
Albania,"6,372,135","5,705,474",Nov,2018
Albania,"3,890,435","5,876,483",Dec,2018
Albania,"4,235,102","6,440,454",Jan,2019
Albania,"4,694,503","3,260,140",Feb,2019
Albania,"4,742,575","6,154,912",Mar,2019
Albania,"6,451,009","3,685,108",Apr,2019
Albania,"9,116,453","7,034,642",May,2019
Albania,"7,832,568","5,313,812",Jun,2019
Albania,"5,104,141","3,053,249",Jul,2019
Albania,"22,138,132","5,566,449",Aug,2019
Albania,"3,480,422","4,097,318",Sep,2019
Albania,"5,605,086","4,628,601",Oct,2019
Albania,"7,912,681","3,581,026",Nov,2019
Albania,"4,945,910","3,559,910",Dec,2019
Albania,"5,898,661","3,951,502",Jan,2020
Albania,"4,032,430","2,929,824",Feb,2020
Albania,"6,540,320","4,360,129",Mar,2020
Albania,"3,555,566","3,265,727",Apr,2020
